Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
Braze  Inc.,BRZE,Buy,Filled,50,50,@26.93,26.93,DAY,10/13/2025 06:47:56 EDT,10/13/2025 06:47:56 EDT
Cellebrite Di Ltd,CLBT,Buy,Filled,40,40,@19.31,19.31,DAY,10/13/2025 06:47:34 EDT,10/13/2025 08:06:50 EDT
Fluor Corp,FLR,Buy,Filled,25,25,@45.20,45.20,DAY,10/13/2025 06:46:18 EDT,10/13/2025 06:46:18 EDT
Academy Sports & Outdoors  Inc.,ASO,Buy,Filled,70,70,@50.42,50.42,DAY,10/13/2025 05:41:24 EDT,10/13/2025 07:05:08 EDT
SOUNDHOUND AI INC,SOUN,Buy,Filled,20,20,@17.63,17.63,DAY,10/10/2025 15:45:44 EDT,10/10/2025 15:45:45 EDT
Serve Robotics,SERV,Buy,Filled,15,15,@14.73,14.73,DAY,10/10/2025 15:36:08 EDT,10/10/2025 15:36:08 EDT
Vanguard Extended Duration Trs ETF,EDV,Buy,Filled,50,50,@69.40,69.40,DAY,10/10/2025 14:17:33 EDT,10/10/2025 14:17:33 EDT
Occidental Pet,OXY,Buy,Filled,25,25,@42.64,42.64,DAY,10/10/2025 13:26:51 EDT,10/10/2025 13:28:07 EDT
Banc Of California Inc,BANC,Short,Filled,20,20,@16.94,16.94,DAY,10/10/2025 12:33:52 EDT,10/10/2025 12:33:52 EDT
Serve Robotics,SERV,Buy,Filled,25,25,@15.23,15.23,DAY,10/10/2025 12:17:00 EDT,10/10/2025 12:17:00 EDT
Nextdecade,NEXT,Buy,Filled,25,25,@6.74,6.74,DAY,10/10/2025 11:54:25 EDT,10/10/2025 11:55:09 EDT
Occidental Pet,OXY,Buy,Filled,25,25,@43.10,43.10,DAY,10/10/2025 11:49:59 EDT,10/10/2025 11:53:14 EDT
ASP Isotopes,ASPI,Sell,Filled,10,10,@11.13,11.13,DAY,10/10/2025 11:48:11 EDT,10/10/2025 11:48:11 EDT
ASP Isotopes,ASPI,Sell,Filled,15,15,@10.63,10.63,DAY,10/10/2025 11:34:22 EDT,10/10/2025 11:34:22 EDT
Uber Technologies,UBER,Sell,Filled,30,30,@93.82,93.82,DAY,10/10/2025 11:33:16 EDT,10/10/2025 11:33:16 EDT
Fluor Corp,FLR,Buy,Filled,15,15,@44.31,44.31,DAY,10/10/2025 11:31:48 EDT,10/10/2025 11:31:48 EDT
Occidental Pet,OXY,Buy,Filled,25,25,@43.05,43.05,DAY,10/10/2025 11:25:14 EDT,10/10/2025 11:28:50 EDT
Cellebrite Di Ltd,CLBT,Short,Filled,20,20,@18.97,18.97,DAY,10/10/2025 11:23:46 EDT,10/10/2025 11:23:46 EDT
Occidental Pet,OXY,Buy,Filled,30,30,@43.16,43.16,DAY,10/10/2025 11:22:36 EDT,10/10/2025 11:23:22 EDT
Braze  Inc.,BRZE,Short,Filled,10,10,@26.81,26.81,DAY,10/10/2025 11:10:32 EDT,10/10/2025 11:10:32 EDT
Academy Sports & Outdoors  Inc.,ASO,Short,Filled,20,20,@50.95,50.95,DAY,10/10/2025 11:09:54 EDT,10/10/2025 11:09:57 EDT
ASP Isotopes,ASPI,Sell,Filled,25,25,@10.83,10.83,DAY,10/10/2025 11:08:24 EDT,10/10/2025 11:08:24 EDT
Amer Sports,AS,Sell,Filled,30,30,@31.54,31.54,DAY,10/10/2025 11:06:59 EDT,10/10/2025 11:07:02 EDT
Twist Bioscience,TWST,Short,Filled,10,10,@30.88,30.88,DAY,10/10/2025 11:05:29 EDT,10/10/2025 11:05:29 EDT
